n,tiempo_strassen_avg,instrucciones_strassen_avg,tiempo_bruta_avg,instrucciones_bruta_avg
2,0.0,10.0,0.0,26.0
4,0.0,66.0,0.0,164.0
8,0.00017366666666666667,514.0,0.0,1160.0
16,0.0,4098.0,0.0,8720.0
32,0.0,32770.0,0.000333,67616.0
64,0.003936,260111.0,0.0,532544.0
128,0.019005333333333332,1943658.0,0.03496733333333333,4227200.0
256,0.20148233333333332,14097127.0,0.242066,33685760.0
512,1.5474433333333335,100645970.0,2.05537,268960256.0
1024,11.591566666666665,712386111.0,27.160433333333334,2149581824.0
